sourceurl,company_name,company_homepage_url
"https://theorg.com/companies/x-1","X0PA AI","https://www.x0pa.com"
"https://theorg.com/companies/x-1","X11 media en vormgeving","https://www.x11.nu/"
"https://theorg.com/companies/x-1","X4 Advisors","https://www.x4advisors.com"
"https://theorg.com/companies/x-1","X5 Retail Group","https://x5.ru/"
"https://theorg.com/companies/x-1","X2nSat","https://x2n.com/"
"https://theorg.com/companies/x-1","X2CRM","http://www.x2crm.com"
"https://theorg.com/companies/x-1","X18 - AI || Growth || Technology solutions","https://x18global.com"
"https://theorg.com/companies/x-1","X2 Performance","http://x2performance.com"
"https://theorg.com/companies/x-1","X13","https://x13.com"
"https://theorg.com/companies/x-1","X8C","https://x8c.io/"
"https://theorg.com/companies/x-1","X20","https://www.x20.network"
"https://theorg.com/companies/x-1","X10Hosting","https://www.x10hosting.com"
"https://theorg.com/companies/x-1","X1 Entertainment Group","https://www.x1esports.com"
"https://theorg.com/companies/x-1","X27 Marketing","https://www.x27marketing.com"
"https://theorg.com/companies/x-1","X8 Media",""
"https://theorg.com/companies/x-1","X5 Home Loans","https://www.x5homeloans.com"
"https://theorg.com/companies/x-1","X42 Ventures, LLC","https://www.x42llc.com"
"https://theorg.com/companies/x-1","X8 AG","https://x8ag.io/"
"https://theorg.com/companies/x-1","X4 Group","https://www.thex4group.com"
"https://theorg.com/companies/x-1","X1 Discovery","https://www.x1.com"
"https://theorg.com/companies/x-1","X2O Media","https://www.x2omedia.com/en/"
"https://theorg.com/companies/x-1","X2O Badkamers","https://www.x2o.be"
"https://theorg.com/companies/x-1","X2Consult - Safeguarding & Child Protection","https://www.x2consult.co.uk"
"https://theorg.com/companies/x-1","X-28 Alarmas","https://x-28.com"
"https://theorg.com/companies/x-1","X12","https://www.x12.org"
"https://theorg.com/companies/x-1","X2 Logics Staffing Solution, Inc.","https://x2logicsstaffingsolution.com/"
"https://theorg.com/companies/x-1","X3 Management Services","http://x3corp.net/"
"https://theorg.com/companies/x-1","x8 Data Company","http://www.x8data.com"
"https://theorg.com/companies/x-1","X4Impact Inc","http://www.x4i.org"
"https://theorg.com/companies/x-1","X3English","http://x3english.com"
"https://theorg.com/companies/x-1","X5 Networks","http://x5.net/"
"https://theorg.com/companies/x-1","X1 Sales & Lettings","https://www.x1salesandlettings.com"
"https://theorg.com/companies/x-1","X3M Ideas","http://x3mideas-ng.com"
"https://theorg.com/companies/x-1","X5company","https://www.x5company.com"
"https://theorg.com/companies/x-1","X1F","https://x1f.one/en"
"https://theorg.com/companies/x-1","X2 Mobile","https://www.x2mobile.net"
"https://theorg.com/companies/x-1","X2X Media Group","https://x2x.media/"
"https://theorg.com/companies/x-1","X4 Pharmaceuticals","http://x4pharma.com"
"https://theorg.com/companies/x-1","X4 Logistics LLC","https://www.x4logistics.com"
"https://theorg.com/companies/x-1","X3M Systems","http://www.x3msys.com/"
"https://theorg.com/companies/x-1","X2 Logistics Networks","https://www.x2logisticsnetworks.com/"
"https://theorg.com/companies/x-1","X2com","https://www.x2com.nl"
"https://theorg.com/companies/x-1","X1 Analytics®","https://www.x1analytics.com"
"https://theorg.com/companies/x-1","X1 Wind","https://www.x1wind.com/"
"https://theorg.com/companies/x-1","X-1FBO","https://www.x1fbo.com/"
"https://theorg.com/companies/x-1","X2F","http://x2f.com"
"https://theorg.com/companies/x-1","X3 Marketing Group","https://xthreemarketing.com"
"https://theorg.com/companies/x-1","X10","https://x10.com"
"https://theorg.com/companies/x-1","X3 UP S.r.l.","https://www.x3up.com"
"https://theorg.com/companies/x-1","X37","https://www.x37.ai/"
"https://theorg.com/companies/x-1","Xace","https://www.xace.io"
"https://theorg.com/companies/x-1","Xafinity","https://www.xpsgroup.com"
"https://theorg.com/companies/x-1","Xactly","https://www.xactlycorp.com/"
"https://theorg.com/companies/x-1","XaddWell","https://xaddwell.com/"
"https://theorg.com/companies/x-1","XACT Engineered Manufacturing Solutions","https://xact.ca/"
"https://theorg.com/companies/x-1","XACT NUTRITION","https://xactnutrition.com/"
"https://theorg.com/companies/x-1","Xactium","https://www.xactium.com"
"https://theorg.com/companies/x-1","Xact IT Solutions","https://www.xitx.com/"
"https://theorg.com/companies/x-1","Xad Technologies","https://www.xadtechnologies.com"
"https://theorg.com/companies/x-1","Xact Metal","https://www.xactmetal.com"
"https://theorg.com/companies/x-1","Xaigi","https://www.xaigi.tech"
"https://theorg.com/companies/x-1","Xact Agriculture","https://xactag.com/"
"https://theorg.com/companies/x-1","Xact Diagnotek","https://www.xactdiagnotek.com"
"https://theorg.com/companies/x-1","Xaba Inc.","https://www.xaba.ai"
"https://theorg.com/companies/x-1","Xactus","https://xactus.com/"
"https://theorg.com/companies/x-1","XACT Robotics","https://xactrobotics.com/"
"https://theorg.com/companies/x-1","XACCT Accounting AS","http://www.xacct.no"
"https://theorg.com/companies/x-1","Xact Telesolutions","https://www.myxact.com/"
"https://theorg.com/companies/x-1","Xactlyit","http://xactlyit.net"
"https://theorg.com/companies/x-1","Xaccel Networks","https://www.xaccel.net"
"https://theorg.com/companies/x-1","xAI","https://x.ai/"
"https://theorg.com/companies/x-1","XAHIVE","https://www.xahive.com"
"https://theorg.com/companies/x-1","XAI Asset Management","https://www.xai-am.com/"
"https://theorg.com/companies/x-1","XactSense, Inc.","https://www.xactsense.com"
"https://theorg.com/companies/x-1","XAIR","http://xairsky.com/"
"https://theorg.com/companies/x-1","Xage Security","https://xage.com/"
"https://theorg.com/companies/x-1","Xadel IT Inc","https://www.xadelit.com/"
"https://theorg.com/companies/x-1","Xaggo","https://www.xaggo.com"
"https://theorg.com/companies/x-1","XacBank","https://www.xacbank.mn/"
"https://theorg.com/companies/x-1","XAC Automation Corp.","https://www.xac.com.tw"
"https://theorg.com/companies/x-1","Xailient","https://www.xailient.com/"
"https://theorg.com/companies/x-1","Xaana.ai","https://xaana.ai"
"https://theorg.com/companies/x-1","Xai Consulting","https://www.xai.consulting/"
"https://theorg.com/companies/x-1","Xact Healthcare Solutions","http://www.xacthealthcaresolutions.com/"
"https://theorg.com/companies/x-1","Xaalys","https://www.xaalys.com"
"https://theorg.com/companies/x-1","XaaS Cloud | ابر زس","https://xaas.ir"
"https://theorg.com/companies/x-1","Xaar","http://xaar.com"
"https://theorg.com/companies/x-1","XAAS STUDIOS","https://xaas.pk/"
"https://theorg.com/companies/x-1","X9HQ","https://x9hq.com"
"https://theorg.com/companies/x-1","xagent","https://www.xagent.com/"
"https://theorg.com/companies/x-1","Xaasability","https://xaasability.com"
"https://theorg.com/companies/x-1","Xact Accounting","https://www.xactaccounting.com.au/"
"https://theorg.com/companies/x-1","XA Group","https://www.xagroup.com"
"https://theorg.com/companies/x-1","X-Agency","https://www.xagency.io"
